SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,WALKSCORE,TRANSITSCORE,BIKESCORE
MLS Listing,,Single Family Residential,72 Oak Grove Dr,Novato,CA,94949,1750000,5.0,3.5,Novato,2934.0,5456.0,2004.0,12,596.0,33.0,Active,,,https://www.redfin.com/CA/Novato/72-Oak-Grove-Dr-94949/home/731246,BAREIS,323912773,N,Y,38.0696536,-122.5483885,49.0,37.0,56.0
MLS Listing,,Single Family Residential,3 Laconheath Ave,Novato,CA,94949,1299000,4.0,3.5,Novato,2126.0,4125.0,1998.0,29,611.0,25.0,Active,,,https://www.redfin.com/CA/Novato/3-Laconheath-Ave-94949/home/1268506,BAREIS,323909714,N,Y,38.0578933,-122.516246,39.0,34.0,40.0
MLS Listing,,Single Family Residential,590 Thyme Pl,San Rafael,CA,94903,1199000,3.0,3.0,San Rafael,1977.0,7209.0,1958.0,1,606.0,,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Rafael/590-Thyme-Pl-94903/home/853773,BAREIS,323916951,N,Y,38.0116808,-122.5594102,70.0,29.0,46.0
MLS Listing,,Townhouse,464 Bahia Way,San Rafael,CA,94901,575000,3.0,1.5,San Rafael,1323.0,3598.0,1973.0,1,435.0,400.0,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/San-Rafael/464-Bahia-Way-94901/home/549721,BAREIS,323913724,N,Y,37.9639369,-122.5001182,75.0,42.0,64.0
MLS Listing,,Vacant Land,0 Coleman Dr,San Rafael,CA,94901,165000,,,San Rafael,,8112.0,,1,,,Active,,,https://www.redfin.com/CA/San-Rafael/0-Coleman-Dr-94901/home/184804859,BAREIS,323917200,N,Y,37.9803866,-122.5241761,58.0,50.0,54.0
MLS Listing,,Single Family Residential,59 Oak Grove Dr,Novato,CA,94949,1495000,4.0,3.0,Novato,2554.0,6159.0,2005.0,1,585.0,33.0,Active,October-15-2023 01:00 PM,October-15-2023 04:00 PM,https://www.redfin.com/CA/Novato/59-Oak-Grove-Dr-94949/home/730999,BAREIS,323916959,N,Y,38.0688614,-122.5472395,64.0,39.0,62.0
MLS Listing,,Townhouse,209 Indian Way,Novato,CA,94949,598000,2.0,1.5,Novato,1480.0,1185.0,1974.0,1,404.0,625.0,Active,October-14-2023 12:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Novato/209-Indian-Way-94949/home/670815,BAREIS,323917149,N,Y,38.0746759,-122.5710445,13.0,27.0,11.0
MLS Listing,,Condo/Co-op,511 Village Cir,Novato,CA,94947,599500,2.0,2.0,Novato,1050.0,2130.0,1976.0,2,571.0,385.0,Active,,,https://www.redfin.com/CA/Novato/511-Village-Cir-94947/home/1104033,BAREIS,323915870,N,Y,38.0826277,-122.5510071,28.0,28.0,37.0
MLS Listing,,Single Family Residential,23 Reichert Ct,Novato,CA,94945,1165000,5.0,3.0,Novato,2194.0,7701.0,1978.0,2,531.0,,Active,October-15-2023 01:00 PM,October-15-2023 04:00 PM,https://www.redfin.com/CA/Novato/23-Reichert-Ct-94945/home/672747,BAREIS,323916952,N,Y,38.1033418,-122.5642957,71.0,44.0,65.0
MLS Listing,,Single Family Residential,680 Marin Oaks Dr,Novato,CA,94949,1000000,3.0,2.0,Novato,1723.0,9892.0,1968.0,2,580.0,,Active,October-11-2023 10:00 AM,October-11-2023 12:00 PM,https://www.redfin.com/CA/Novato/680-Marin-Oaks-Dr-94949/home/1292769,BAREIS,323910021,N,Y,38.073283,-122.5670312,6.0,29.0,27.0
MLS Listing,,Single Family Residential,64 Rollingwood Dr,San Rafael,CA,94901,1245000,3.0,2.0,San Rafael,1446.0,9239.0,1960.0,2,861.0,,Active,October-15-2023 01:00 PM,October-15-2023 04:00 PM,https://www.redfin.com/CA/San-Rafael/64-Rollingwood-Dr-94901/home/1301907,BAREIS,323916906,N,Y,37.9864733,-122.4833204,7.0,0.0,2.0
MLS Listing,,Condo/Co-op,232 Seagull Row,Novato,CA,94945,350000,1.0,1.0,Novato,624.0,623.0,1989.0,2,561.0,545.0,Active,October-15-2023 02:00 PM,October-15-2023 04:00 PM,https://www.redfin.com/CA/Novato/232-Seagull-Row-94945/home/1333822,BAREIS,323915327,N,Y,38.097116,-122.5659807,36.0,41.0,62.0
MLS Listing,,Condo/Co-op,400 Deer Valley Rd Unit 2N,San Rafael,CA,94903,875000,2.0,2.0,San Rafael,1285.0,1285.0,1991.0,3,681.0,3184.0,Active,,,https://www.redfin.com/CA/San-Rafael/400-Deer-Valley-Rd-94903/unit-2N/home/1099537,BAREIS,323913025,N,Y,38.023983,-122.534428,37.0,39.0,13.0
MLS Listing,,Single Family Residential,9 Western Dr,Novato,CA,94947,1395000,4.0,3.0,Novato,2212.0,8999.0,1955.0,5,631.0,,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Novato/9-Western-Dr-94947/home/1025708,BAREIS,323043405,N,Y,38.1099307,-122.5995921,42.0,22.0,48.0
MLS Listing,,Condo/Co-op,12 Holstrom Cir,Novato,CA,94947,1175000,3.0,2.0,Novato,1824.0,6861.0,1986.0,5,644.0,110.0,Active,,,https://www.redfin.com/CA/Novato/12-Holstrom-Cir-94947/home/945022,BAREIS,323916407,N,Y,38.1094657,-122.5968085,46.0,22.0,51.0
MLS Listing,,Single Family Residential,255 Baypoint Dr,San Rafael,CA,94901,1595000,3.0,3.0,Baypoint Village,1980.0,3568.0,1999.0,5,806.0,350.0,Active,,,https://www.redfin.com/CA/San-Rafael/255-Baypoint-Dr-94901/home/22615154,BAREIS,323916400,N,Y,37.9610895,-122.4926099,45.0,38.0,64.0
MLS Listing,,Single Family Residential,14 Baywood Ter,San Rafael,CA,94901,2150000,5.0,3.5,San Rafael,3685.0,18774.0,2003.0,5,583.0,200.0,Active,October-15-2023 02:00 PM,October-15-2023 04:00 PM,https://www.redfin.com/CA/San-Rafael/14-Baywood-Ter-94901/home/966294,BAREIS,323915357,N,Y,37.9587416,-122.5214954,36.0,37.0,33.0
MLS Listing,,Single Family Residential,132 Santa Maria Dr,Novato,CA,94947,1399000,4.0,3.5,Novato,2386.0,12240.0,1971.0,5,586.0,,Active,October-15-2023 01:00 PM,October-15-2023 04:00 PM,https://www.redfin.com/CA/Novato/132-Santa-Maria-Dr-94947/home/1275629,BAREIS,323914286,N,Y,38.0975982,-122.6097503,9.0,3.0,2.0
MLS Listing,,Condo/Co-op,1000 Susan Way,Novato,CA,94947,765000,3.0,2.5,Hillside Park,1740.0,1891.0,1980.0,5,440.0,699.0,Active,,,https://www.redfin.com/CA/Novato/1000-Susan-Way-94947/home/1058866,BAREIS,323915244,N,Y,38.0765431,-122.5520419,28.0,30.0,20.0
MLS Listing,,Condo/Co-op,100 Thorndale Dr #103,San Rafael,CA,94903,292000,2.0,2.0,San Rafael,1096.0,,1985.0,6,266.0,5485.0,Active,,,https://www.redfin.com/CA/San-Rafael/100-Thorndale-Dr-94903/unit-103/home/965197,BAREIS,323916219,N,Y,38.0039449,-122.5495595,40.0,40.0,26.0
