,price,bedrooms,bathrooms,size
0,1280000,3,2.5,1280
1,1199000,3,2.5,1354
2,538888,1,1.0,953
3,875000,2,2.0,1285
5,995000,2,1.5,1229
6,849000,2,1.0,878
7,1395000,3,2.0,1448
8,1650000,5,4.0,2427
9,1050000,3,3.5,1690
10,2198800,3,3.5,3719
11,1067888,3,2.0,1593
12,1150000,3,2.0,1593
13,190000,2,1.0,900
14,315800,2,2.0,1440
15,489000,2,1.5,949
16,9500000,4,6.0,4971
17,1498000,3,2.0,1170
18,2590000,3,2.0,1661
19,839999,3,1.5,1148
20,240000,2,2.0,1460
21,748800,2,2.0,1216
22,2199000,1,1.0,640
23,6998000,5,4.5,4699
24,3500000,3,2.0,1993
25,3500000,4,2.5,2225
26,3150000,3,3.5,3116
27,1999999,4,2.5,1926
29,3388000,3,2.5,2510
30,775000,2,2.0,1067
31,1395000,4,3.0,2212
32,2998000,3,3.0,3134
33,1198000,3,2.0,1303
34,2899000,7,6.0,3780
35,799000,1,1.0,540
36,2888888,5,3.5,4133
37,5680000,4,3.5,3253
38,7477000,5,4.5,5670
40,743000,3,2.0,1225
41,289900,3,2.0,1230
42,2550000,3,1.5,1500
43,525888,2,1.0,959
44,578000,1,1.0,720
45,1249900,2,2.0,1590
46,3295000,4,2.5,4190
47,285000,2,2.0,1245
48,655000,2,1.0,810
49,879900,2,2.0,1509
50,489900,3,1.0,1800
51,2300000,3,3.5,1858
52,1225000,3,2.0,1144
53,1390000,3,2.0,1384
54,5178000,5,5.0,4247
55,625000,1,1.0,895
56,2399000,4,3.0,1820
57,1299900,3,3.0,1550
58,1998000,4,2.5,2234
59,1690000,1,1.0,672
60,1699000,3,2.0,1632
61,3995000,4,3.0,3562
62,1049000,4,2.0,1230
63,1299000,3,2.0,1232
64,895000,2,1.5,1000
65,699000,2,1.0,852
66,1998000,4,3.5,2498
67,1599000,4,2.5,2124
68,2700000,3,2.0,1729
69,1175000,3,2.0,1824
70,698000,2,2.0,1091
71,1998888,3,2.0,1712
72,1299000,3,2.0,1576
73,1400000,3,2.0,1617
74,1595000,3,3.0,1980
75,1099000,3,2.0,1575
76,1879000,3,2.0,1326
77,2150000,5,3.5,3685
78,859000,2,2.0,1022
79,1699000,3,2.0,2400
