SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,59 Ventana Dr,American Canyon,CA,94503,999000,6,3.0,American Canyon,3862,9692,2003,33,259,,Active,,,https://www.redfin.com/CA/American-Canyon/59-Ventana-Dr-94503/home/12222034,BAREIS,323909004,N,Y,38.1580328,-122.24813
MLS Listing,,Condo/Co-op,92 Belvedere Ct,Napa,CA,94559,595000,3,2.0,Napa,1176,2548,1979,48,506,430,Active,,,https://www.redfin.com/CA/Napa/92-Belvedere-Ct-94559/home/12213902,BAREIS,323900127,N,Y,38.2862535,-122.2674476
MLS Listing,,Vacant Land,370 Dutch Henry Canyon Rd,Calistoga,CA,94515,1759000,,,Calistoga,,2614036,,113,,,Active,,,https://www.redfin.com/CA/Calistoga/370-Dutch-Henry-Canyon-Rd-94515/home/107250778,BAREIS,323042000,N,Y,38.5785409,-122.5191938
MLS Listing,,Townhouse,3518 Shelter Creek Dr,Napa,CA,94558,510000,2,1.5,Napa,970,1019,1972,147,526,355,Active,,,https://www.redfin.com/CA/Napa/3518-Shelter-Creek-Dr-94558/home/12204240,BAREIS,323029860,N,Y,38.3269056,-122.2920009
MLS Listing,,Single Family Residential,86 Stonecreek Dr,American Canyon,CA,94503,850000,5,3.0,American Canyon,3003,5205,2004,411,283,,Active,,,https://www.redfin.com/CA/American-Canyon/86-Stonecreek-Dr-94503/home/12223768,BAREIS,322077083,N,Y,38.1670714,-122.2497234
Redfin Data,,Single Family Residential,2406 Shoreline Dr,Napa,CA,94558,865000,3,2.0,Napa,1450,19240,1983,13,597,,Pre On-Market,,,https://www.redfin.com/CA/Napa/2406-Shoreline-Dr-94558/home/12210967,Coming Soon,95136,N,Y,38.314573,-122.2785256
MLS Listing,,Mobile/Manufactured Home,20 Camelia Dr,Napa,CA,94558,265000,2,2.0,Napa Valley Sun Communties,1056,,1972,1,251,,Active,,,https://www.redfin.com/CA/Napa/20-Camelia-Dr-94558/home/187967102,BAREIS,323917024,N,Y,38.3496276,-122.3315882
MLS Listing,,Single Family Residential,3002 Cuttings Wharf Rd,Napa,CA,94559,2195000,3,2.0,Napa,2460,29259,1923,1,892,,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Napa/3002-Cuttings-Wharf-Rd-94559/home/12214200,BAREIS,323916988,N,Y,38.235327,-122.3130769
MLS Listing,,Condo/Co-op,336 Pear Tree Ter Unit C,Napa,CA,94558,825000,3,2.5,Napa,1728,1281,2021,1,477,302,Active,October-14-2023 01:00 PM,October-14-2023 04:00 PM,https://www.redfin.com/CA/Napa/336-Pear-Tree-Ter-94558/unit-C/home/172772512,BAREIS,323915316,N,Y,38.321011,-122.290305
MLS Listing,,Single Family Residential,448 Country Club Ln,Napa,CA,94558,718448,3,2.0,Circle Oaks 01,1600,10019,1986,1,449,33,Active,October-13-2023 04:00 PM,October-13-2023 06:00 PM,https://www.redfin.com/CA/Napa/448-Country-Club-Ln-94558/home/12200823,BAREIS,323917283,N,Y,38.4107411,-122.2149751
MLS Listing,,Condo/Co-op,6948 Yount St,Yountville,CA,94599,2100000,2,2.0,Yountville,1532,2553,1982,1,1371,637,Active,,,https://www.redfin.com/CA/Yountville/6948-Yount-St-94599/home/12200590,BAREIS,323913604,N,Y,38.40963,-122.365436
MLS Listing,,Single Family Residential,889 Laguna St,Napa,CA,94558,725000,3,2.0,Eastwoods Gardens,1337,6020,1960,1,542,,Active,,,https://www.redfin.com/CA/Napa/889-Laguna-St-94558/home/12186069,BAREIS,323917381,N,Y,38.3173186,-122.2914603
MLS Listing,,Townhouse,1649 San Vicente Dr,Napa,CA,94558,734900,3,2.0,Napa,1851,3964,1988,1,397,351,Active,October-14-2023 11:00 AM,October-14-2023 01:00 PM,https://www.redfin.com/CA/Napa/1649-San-Vicente-Ave-94558/home/12203167,BAREIS,323916960,N,Y,38.336839,-122.3156947
MLS Listing,,Single Family Residential,2180 Patton Ave,Napa,CA,94559,1995000,5,4.0,Napa,2198,45041,1961,1,908,,Active,October-12-2023 10:00 AM,October-12-2023 12:00 PM,https://www.redfin.com/CA/Napa/2180-Patton-Ave-94559/home/12213248,BAREIS,323914649,N,Y,38.2808093,-122.2562667
MLS Listing,,Single Family Residential,1193 London Way,Napa,CA,94559,918000,4,2.0,Napa,1613,6120,1954,1,569,,Active,,,https://www.redfin.com/CA/Napa/1193-London-Way-94559/home/12212793,San Francisco MLS,323914479,N,Y,38.28403,-122.2645247
MLS Listing,,Single Family Residential,1313 Hestia Way,Napa,CA,94558,2750000,4,3.0,NAPA,2489,63678,1970,2,1105,,Active,,,https://www.redfin.com/CA/Napa/1313-Hestia-Way-94558/home/12214873,MLSListings,ML81944514,N,Y,38.3303335,-122.2603817
MLS Listing,,Single Family Residential,1162 Pennyroyal St,Napa,CA,94559,2150000,5,3.5,Napa,3872,18796,2019,2,555,203,Active,,,https://www.redfin.com/CA/Napa/1162-Pennyroyal-St-94559/home/167262742,BAREIS,323916968,N,Y,38.292405,-122.2649013
MLS Listing,,Mobile/Manufactured Home,141 Chablis Cir,Yountville,CA,94599,182500,2,2.0,Bella Vista,960,,1973,2,190,,Active,,,https://www.redfin.com/CA/Yountville/141-Chablis-Cir-94599/home/187894618,BAREIS,323053191,N,Y,38.3983071,-122.355896
MLS Listing,,Single Family Residential,2180 Shurtleff Ave,Napa,CA,94559,799000,3,2.0,Cayetano Juarez Estate,1296,8006,1951,2,617,,Active,October-15-2023 01:00 PM,October-15-2023 03:00 PM,https://www.redfin.com/CA/Napa/2180-Shurtleff-Ave-94559/home/12213059,BAREIS,323916748,N,Y,38.281531,-122.2635056
MLS Listing,,Mobile/Manufactured Home,4 San Juan Ct,St. Helena,CA,94574,330000,2,2.0,Vineyard Valley Mobile Home Park,1536,,1986,2,215,,Active,,,https://www.redfin.com/CA/Saint-Helena/4-San-Juan-Ct-94574/home/12222943,BAREIS,323916110,N,Y,38.5117236,-122.4613788
MLS Listing,,Single Family Residential,940 Galleron Rd,St. Helena,CA,94574,5950000,3,2.0,St. Helena,2336,336283,1974,2,2547,,Active,,,https://www.redfin.com/CA/St-Helena/940-Galleron-Rd-94574/home/187879276,BAREIS,323915837,N,Y,38.4814881,-122.4211277
MLS Listing,,Vacant Land,421 Bear Creek Cir,Napa,CA,94558,625000,,,Silverado Highlands,,3311,,3,,483,Active,,,https://www.redfin.com/CA/Napa/421-Bear-Creek-Cir-94558/home/12219863,BAREIS,323916171,N,Y,38.3574636,-122.2533067
MLS Listing,,Single Family Residential,1101 Castle Oaks Dr,Napa,CA,94558,3150000,3,3.5,Silverado Highlands,3116,25265,2021,5,1011,483,Active,,,https://www.redfin.com/CA/Napa/1101-Castle-Oaks-Dr-94558/home/12219855,BAREIS,323916130,N,Y,38.3566379,-122.2541779
MLS Listing,,Single Family Residential,2460 Adrian St,Napa,CA,94558,743000,3,2.0,Napa,1225,7113,1963,5,607,,Active,,,https://www.redfin.com/CA/Napa/2460-Adrian-St-94558/home/12185004,BAREIS,323915064,N,Y,38.3135693,-122.2932286
MLS Listing,,Vacant Land,0 St. Helena Hwy,Calistoga,CA,94515,1125000,,,Calistoga,,182952,,5,,,Active,,,https://www.redfin.com/CA/Calistoga/0-St-Helena-Hwy-94515/home/172720216,BAREIS,323913713,N,Y,38.5700132,-122.5671732
MLS Listing,,Single Family Residential,4104 St. Helena Hwy,Calistoga,CA,94515,2322000,4,2.0,Calistoga,2304,138956,1906,5,1008,,Active,,,https://www.redfin.com/CA/Calistoga/4104-Saint-Helena-Hwy-94515/home/12220467,BAREIS,323052698,N,Y,38.5639434,-122.5391966
MLS Listing,,Single Family Residential,1883 Heritage Way,Yountville,CA,94599,2649500,4,2.5,Yountville,2762,8429,1994,5,959,,Active,,,https://www.redfin.com/CA/Yountville/1883-Heritage-Way-94599/home/12202898,BAREIS,323916376,N,Y,38.4038753,-122.3572905
MLS Listing,,Single Family Residential,2517 Rigdon St,Napa,CA,94558,1349000,4,2.0,Four Oaks,2101,12384,1976,5,642,,Active,October-12-2023 10:00 AM,October-12-2023 01:00 PM,https://www.redfin.com/CA/Napa/2517-Rigdon-St-94558/home/12192803,BAREIS,323915778,N,Y,38.3217213,-122.3278004
MLS Listing,,Single Family Residential,244 Foothill Blvd,Napa,CA,94558,499000,2,1.0,Napa,994,5493,1947,6,502,,Active,,,https://www.redfin.com/CA/Napa/244-Foothill-Blvd-94558/home/12188874,BAREIS,323916168,N,Y,38.290602,-122.3099419
MLS Listing,,Mobile/Manufactured Home,151 Gamay Cir,Yountville,CA,94599,291000,2,2.0,Bella Vista Park,1423,,1999,6,204,,Active,,,https://www.redfin.com/CA/Yountville/151-Gamay-Cir-94599/home/22603946,BAREIS,323916225,N,Y,38.3985119,-122.3552319
MLS Listing,,Single Family Residential,2188 Locust St,Napa,CA,94559,599000,3,2.0,South Ext Gordon Terrace,1308,7301,1952,6,458,,Active,,,https://www.redfin.com/CA/Napa/2188-Locust-St-94559/home/12189759,BAREIS,323916203,N,Y,38.2847102,-122.2981946
MLS Listing,,Single Family Residential,10 Oakstone Ct,American Canyon,CA,94503,954000,6,3.0,American Canyon,3164,6168,2006,6,302,,Active,,,https://www.redfin.com/CA/American-Canyon/10-Oakstone-Ct-94503/home/12223895,San Francisco MLS,323916235,N,Y,38.1706735,-122.2423856
MLS Listing,,Single Family Residential,1515 Filmore St,Calistoga,CA,94515,600000,2,1.0,Calistoga,1138,7798,1950,6,527,,Active,,,https://www.redfin.com/CA/Calistoga/1515-Filmore-St-94515/home/12195596,BAREIS,323916186,N,Y,38.5840198,-122.583739
MLS Listing,,Single Family Residential,242 Landana St,American Canyon,CA,94503,649000,3,2.0,American Canyon,1032,9980,1957,6,629,,Active,,,https://www.redfin.com/CA/American-Canyon/242-Landana-St-94503/home/12217167,BAREIS,323916109,N,Y,38.1754674,-122.2666958
MLS Listing,,Townhouse,3146 Valley Green Ln,Napa,CA,94558,685000,3,2.5,Valley Green,1724,2723,1964,6,397,229,Active,,,https://www.redfin.com/CA/Napa/3146-Valley-Green-Ln-94558/home/12215730,BAREIS,323915822,N,Y,38.303466,-122.3245063
MLS Listing,,Single Family Residential,137 Capstone Ct,Napa,CA,94559,1625000,5,3.0,Napa,3328,9871,2000,6,488,,Active,October-14-2023 11:00 AM,October-14-2023 02:00 PM,https://www.redfin.com/CA/Napa/137-Capstone-Ct-94559/home/12220291,BAREIS,323914517,N,Y,38.2874779,-122.263417
MLS Listing,,Single Family Residential,3023 Coombsville Rd,Napa,CA,94558,549000,3,1.5,Napa,1404,8481,1952,6,391,,Active,,,https://www.redfin.com/CA/Napa/3023-Coombsville-Rd-94558/home/12212074,BAREIS,323915733,N,Y,38.2945609,-122.2446767
MLS Listing,,Single Family Residential,2506 Linda Vista Ave,Napa,CA,94558,829000,3,2.0,Napa,1354,12188,1957,6,612,,Active,,,https://www.redfin.com/CA/Napa/2506-Linda-Vista-Ave-94558/home/12208685,BAREIS,323915962,N,Y,38.3072855,-122.3145829
MLS Listing,,Condo/Co-op,3 Blossom Ct E,Napa,CA,94558,535000,2,2.0,Napa,1212,,1984,7,441,395,Active,October-14-2023 12:00 AM,October-14-2023 02:00 PM,https://www.redfin.com/CA/Napa/3-Blossom-Ct-E-94558/home/12209878,BAREIS,323915813,N,Y,38.2815218,-122.3038516
MLS Listing,,Single Family Residential,706 S Minahen St,Napa,CA,94559,685000,3,2.0,Napa,1287,6264,1955,7,532,,Active,,,https://www.redfin.com/CA/Napa/706-S-Minahen-St-94559/home/12209651,BAREIS,323915491,N,Y,38.2784523,-122.2962899
MLS Listing,,Single Family Residential,1508 Milton Rd,Napa,CA,94559,1295000,5,3.0,Napa,3072,10594,1994,7,422,,Active,,,https://www.redfin.com/CA/Napa/1508-Milton-Rd-94559/home/12214299,BAREIS,323915714,N,Y,38.2085018,-122.308159
MLS Listing,,Single Family Residential,1017 Donaldson Way,American Canyon,CA,94503,739000,3,2.0,American Canyon,1464,9491,1994,7,505,,Active,,,https://www.redfin.com/CA/American-Canyon/1017-Donaldson-Way-94503/home/12218766,BAREIS,323914943,N,Y,38.1779973,-122.2647003
MLS Listing,,Single Family Residential,58 Summerbrooke Cir,Napa,CA,94558,1030000,3,2.5,Napa,2682,5663,1999,7,384,,Active,,,https://www.redfin.com/CA/Napa/58-Summerbrooke-Cir-94558/home/12205173,BAREIS,323915085,N,Y,38.3299721,-122.2981225
MLS Listing,,Single Family Residential,1042 Oakmont Ct,Napa,CA,94559,1410000,3,2.5,Napa,2201,18439,1985,7,641,,Active,,,https://www.redfin.com/CA/Napa/1042-Oakmont-Ct-94559/home/12212348,BAREIS,323915431,N,Y,38.2944146,-122.2653444
MLS Listing,,Townhouse,1100 Foster Rd,Napa,CA,94558,849000,2,2.5,Napa,1310,,,7,648,450,Active,October-12-2023 12:00 AM,October-12-2023 02:00 PM,https://www.redfin.com/CA/Napa/1100-Foster-Rd-94558/home/176798753,San Francisco MLS,323915708,N,Y,38.279088,-122.305688
MLS Listing,,Townhouse,1092 Foster Rd,Napa,CA,94558,899000,2,2.5,Napa,1360,,,7,661,450,Active,October-12-2023 12:00 AM,October-12-2023 02:00 PM,https://www.redfin.com/CA/Napa/1092-Foster-Rd-94558/home/176798756,San Francisco MLS,323915700,N,Y,38.279185,-122.305697
MLS Listing,,Single Family Residential,2220 Georgia St,Napa,CA,94559,745000,3,2.0,Napa,1287,5432,1956,7,579,,Active,,,https://www.redfin.com/CA/Napa/2220-Georgia-St-94559/home/12186481,BAREIS,323912720,N,Y,38.3070853,-122.2970969
MLS Listing,,Single Family Residential,106 Heun Ln,Napa,CA,94558,1325000,4,2.0,Napa,2144,8912,2018,7,618,60,Active,,,https://www.redfin.com/CA/Napa/106-Heun-Ln-94558/home/118821609,BAREIS,323915281,N,Y,38.2966246,-122.3140512
MLS Listing,,Single Family Residential,1056 Berry Ln,Napa,CA,94558,1250000,3,2.5,Napa,1849,43560,1956,7,676,,Active,,,https://www.redfin.com/CA/Napa/1056-Berry-Ln-94558/home/12212087,BAREIS,323915664,N,Y,38.291621,-122.2453369
MLS Listing,,Single Family Residential,2710 Hillcrest Dr,Napa,CA,94558,3200000,3,4.0,Napa,4000,19153,1974,8,800,,Active,,,https://www.redfin.com/CA/Napa/2710-Hillcrest-Dr-94558/home/12219753,BAREIS,323913892,N,Y,38.3500369,-122.2540671
MLS Listing,,Single Family Residential,2401 Shoreline Dr,Napa,CA,94558,854000,4,2.0,Napa,1654,8211,1984,8,516,,Active,October-15-2023 12:00 PM,October-15-2023 02:00 PM,https://www.redfin.com/CA/Napa/2401-Shoreline-Dr-94558/home/12210951,BAREIS,323915245,N,Y,38.3148924,-122.2794117
MLS Listing,,Vacant Land,3027 Foothill Blvd,Calistoga,CA,94515,1200000,,,Calistoga,,475675,,9,,,Active,,,https://www.redfin.com/CA/Calistoga/3027-Foothill-Blvd-94515/home/77429751,BAREIS,323915356,N,Y,38.5854078,-122.6033765
MLS Listing,,Single Family Residential,3260 State Highway 128,Calistoga,CA,94515,1999500,5,2.0,Calistoga,2214,47916,1920,9,903,,Active,,,https://www.redfin.com/CA/Calistoga/3260-State-Highway-128-94515/home/12197689,BAREIS,323911588,N,Y,38.594754,-122.613732
MLS Listing,,Condo/Co-op,582 Rainbow Dr,Napa,CA,94558,769000,3,2.5,Napa,1684,2452,1981,9,457,497,Active,,,https://www.redfin.com/CA/Napa/582-Rainbow-Dr-94558/home/12210978,BAREIS,323914255,N,Y,38.3190539,-122.2829559
MLS Listing,,Single Family Residential,1169 Westview Dr,Napa,CA,94558,1098000,3,2.0,Napa,1649,8503,1988,9,666,,Active,,,https://www.redfin.com/CA/Napa/1169-Westview-Dr-94558/home/12207098,BAREIS,323913751,N,Y,38.3146265,-122.3321417
MLS Listing,,Single Family Residential,3230 Old Lawley Toll Rd,Calistoga,CA,94515,4980000,7,7.5,Calistoga,5379,188615,1994,9,926,,Active,,,https://www.redfin.com/CA/Calistoga/3230-Old-Lawley-Toll-Rd-94515/home/12197613,San Francisco MLS,323915248,N,Y,38.6167678,-122.5940709
MLS Listing,,Single Family Residential,6582 Oak Leaf Ct,Yountville,CA,94599,2700000,3,2.5,Yountville,2490,10019,1992,9,1084,,Active,,,https://www.redfin.com/CA/Yountville/6582-Oak-Leaf-Ct-94599/home/12201950,BAREIS,323914485,N,Y,38.4008687,-122.3582423
MLS Listing,,Mobile/Manufactured Home,6468 Washington St #223,Yountville,CA,94599,379000,3,2.0,Rancho de Napa,1620,,2007,9,234,,Active,,,https://www.redfin.com/CA/Yountville/6468-Washington-St-94599/unit-223/home/21927073,BAREIS,323904877,N,Y,38.400443,-122.355254
MLS Listing,,Single Family Residential,640 Silverado Trl,Napa,CA,94559,899000,3,2.0,Napa,1315,5040,1942,9,684,,Active,,,https://www.redfin.com/CA/Napa/640-Silverado-Trl-94559/home/12191423,BAREIS,323914165,N,Y,38.2970221,-122.2749812
MLS Listing,,Multi-Family (2-4 Unit),1422 - 1424 Park Ave,Napa,CA,94558,699000,4,2.0,Agricultural Park,1600,9148,1974,9,437,,Active,,,https://www.redfin.com/CA/Napa/1422-Park-Ave-94558/home/12184938,BAREIS,323915054,N,Y,38.3126199,-122.2994349
MLS Listing,,Single Family Residential,2691 Indiana St,Napa,CA,94558,699000,4,2.0,COVENTRY MANOR,1395,6495,1955,11,501,,Active,October-11-2023 04:00 PM,October-11-2023 06:00 PM,https://www.redfin.com/CA/Napa/2691-Indiana-St-94558/home/12189455,BAREIS,323914370,N,Y,38.2843593,-122.3064333
MLS Listing,,Mobile/Manufactured Home,17 San Juan,St. Helena,CA,94574,395000,2,2.0,Vineyard Valley MHP,1440,,1986,11,274,,Active,,,https://www.redfin.com/CA/Saint-Helena/17-San-Juan-Ct-94574/home/12222949,BAREIS,323914941,N,Y,38.5110045,-122.4615966
MLS Listing,,Single Family Residential,3681 Harkness St,Napa,CA,94558,725000,3,2.0,Napa,1261,6072,1960,11,575,,Active,,,https://www.redfin.com/CA/Napa/3681-Harkness-St-94558/home/12186147,San Francisco MLS,323913015,N,Y,38.326478,-122.3130326
MLS Listing,,Single Family Residential,1423 Seminary St,Napa,CA,94559,899000,2,2.0,Napa,754,5358,1920,12,1192,,Active,,,https://www.redfin.com/CA/Napa/1423-Seminary-St-94559/home/12187551,BAREIS,323912056,N,Y,38.3009688,-122.2906641
MLS Listing,,Condo/Co-op,359 Freeway Dr,Napa,CA,94558,475999,2,1.5,Napa,1200,1233,1984,12,397,318,Active,,,https://www.redfin.com/CA/Napa/359-Freeway-Dr-94558/home/12190073,BAREIS,323913023,N,Y,38.292632,-122.3026241
MLS Listing,,Single Family Residential,1355 Loma Vista Dr,Napa,CA,94558,9800000,6,6.5,Napa,5531,744876,2023,12,1772,,Active,,,https://www.redfin.com/CA/Napa/1355-Loma-Vista-Dr-94558/home/12205754,BAREIS,323914674,N,Y,38.3879232,-122.2949942
MLS Listing,,Condo/Co-op,20 Village Pkwy,Napa,CA,94558,579000,2,2.5,Napa,1376,584,1985,12,421,519,Active,,,https://www.redfin.com/CA/Napa/20-Village-Pkwy-94558/home/12209746,BAREIS,323914572,N,Y,38.2797523,-122.3056344
MLS Listing,,Vacant Land,135 Poppy Ln,Napa,CA,94558,225000,,,Berryessa Highlands,,37793,,12,,,Active,,,https://www.redfin.com/CA/Napa/135-Poppy-Ln-94558/home/12198131,BAREIS,323914465,N,Y,38.5102585,-122.1932512
MLS Listing,,Vacant Land,1359 Steele Canyon Rd,Napa,CA,94558,49000,,,Napa,,11761,,13,,,Active,,,https://www.redfin.com/CA/Napa/1359-Steele-Canyon-Rd-94558/home/187731087,CRMLS,IV23176775,N,Y,38.5130407,-122.1933181
MLS Listing,,Single Family Residential,3967 Lassen St,Napa,CA,94558,799000,3,2.0,Valencia Gardens,1392,6159,1973,13,574,,Active,,,https://www.redfin.com/CA/Napa/3967-Lassen-St-94558/home/12204399,MetroList,323911800,N,Y,38.3337829,-122.314402
MLS Listing,,Vacant Land,6145 Wild Horse Valley Rd,Napa,CA,94558,279000,,,Napa,,67954,,14,,,Active,,,https://www.redfin.com/CA/Napa/6145-Wild-Horse-Valley-Rd-94558/home/12216341,BAREIS,323912604,N,Y,38.294595,-122.216275
MLS Listing,,Single Family Residential,2125 Ranch Ct,Napa,CA,94558,1695000,4,3.5,Napa,3455,8690,2006,14,491,,Active,,,https://www.redfin.com/CA/Napa/2125-Ranch-Ct-94558/home/12224501,BAREIS,323913600,N,Y,38.3291707,-122.293612
